                                                                                          EMPRESA DE REPARTOS A DOMICILIO TP S. A.
                                                                                                    ENTREGAS POR PLATOS
=======================================================================================================================================================================================================================
                                                                                                                                                  MONTO            DESCUENTO           DESCUENTO             TOTAL
CODIGO    DESCRIPCION                                       CATEGORIA                PRECIO              DESCUENTO             CANTIDAD          VENDIDO            AL PLATO          AL CLIENTE           INGRESADO
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
53265     ANTICUCHO                                         ENTRADA                  12.90                  NO                   208             2683.20                NO                179.96             2323.27
39536     SPRITE_1_LITRO                                    BEBIDAS                  15.50                  NO                   206             3193.00                NO                250.70             2691.60
77493     ENSALADA_CESARS_MEDIANA_CON_POLLO                 ENSALADAS                23.90               12.78%                  199             4756.10              607.83              239.93             4276.25
39955     CASILLERO_DEL_DIABLO_TINTO                        BEBIDAS                  73.90               14.83%                  196            14484.40             2148.04             1243.15            11998.09
53518     PAPAS_FRITAS                                      ADICIONAL                15.90                  NO                   183             2909.70                NO                216.47             2476.75
39584     COCA_COLA_1_LITRO                                 BEBIDAS                  15.50               13.44%                  181             2805.50              377.06              264.94             2275.63
39160     INKA_COLA_1_LITRO                                 BEBIDAS                  15.50               17.39%                  179             2774.50              482.49              185.24             2404.03
77910     ENSALADA_DELICIA_MEDIANA_CON_POLLO                ENSALADAS                22.90                  NO                   170             3893.00                NO                364.84             3163.33
39431     CERVEZA_CUSQUENA                                  BEBIDAS                  12.50               11.05%                  167             2087.50              230.67              121.22             1845.06
15724     1/4_POLLO_ENCAMOTADO                              BRASA                    31.50                  NO                   165             5197.50                NO                291.43             4614.64
39695     SANGRIA                                           BEBIDAS                  36.90               19.63%                  164             6051.60             1187.93              559.17             4933.26
15116     1/2_POLLO_ENCAMOTADO                              BRASA                    49.90                9.18%                  163             8133.70              746.67              618.47             6896.77
39265     TABERNERO_GRAN_TINTO                              BEBIDAS                  49.90                8.70%                  132             6586.80              573.05              664.45             5257.90
77381     ENSALADA_HONEY_GRANDE_CON_POLLO                   ENSALADAS                32.90                  NO                   131             4309.90                NO                247.17             3815.56
15197     1/2_POLLO_ARROCERO                                BRASA                    47.50               11.82%                  129             6127.50              724.27              545.04             5037.41
15136     1/2_POLLO_BBQ/HOT_ANTICUCHO                       BRASA                    60.50                5.45%                  128             7744.00              422.05              567.92             6608.16
53377     PLATANO                                           ADICIONAL                 3.90                  NO                   125              487.50                NO                 40.75              406.01
73428     TEQUENOS                                          APERITIVO                19.50                  NO                   121             2359.50                NO                211.86             1935.77
53814     PALTA                                             ADICIONAL                 9.90               10.91%                  120             1188.00              129.61               77.48             1033.04
11471     1_BOLA_DE_HELADO                                  POSTRES                   8.90                  NO                   120             1068.00                NO                 88.66              890.68
77606     ENSALADA_HONEY_GRANDE_SOLO                        ENSALADAS                24.90               19.98%                  106             2639.40              527.35              110.39             2418.61
15479     1/2_POLLO_PARRILLERO_ORIGINAL_A_LO_BRAVO          BRASA                    51.90                  NO                   106             5501.40                NO                500.86             4499.68
